RPM,WindMagnitude,AngleDegrees,WindX,WindY,WindZ,VmagCosAngle,Fx,Fy,Fz,Qx,Qy,Qz,Propeller_1_Fx,Propeller_1_Fy,Propeller_1_Fz,Propeller_1_Qx,Propeller_1_Qy,Propeller_1_Qz
45,0,-20,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-15,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-10,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-5,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,0,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,5,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,10,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,15,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,20,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,2,-20,1.879385242,0,-0.684040287,1.879385242,19.99532855,-1.158292544,3960.284334,168.784091,7.109211465,-1322.18435,19.99532855,-1.158292544,3960.284334,168.784091,7.109211465,-1322.18435
45,2,-15,1.931851653,0,-0.51763809,1.931851653,20.68814165,-1.207182372,4005.185745,174.4861158,7.338900464,-1336.877668,20.68814165,-1.207182372,4005.185745,174.4861158,7.338900464,-1336.877668
45,2,-10,1.969615506,0,-0.347296355,1.969615506,21.2316062,-1.248079311,4051.078059,178.9212198,7.515490707,-1351.898346,21.2316062,-1.248079311,4051.078059,178.9212198,7.515490707,-1351.898346
45,2,-5,1.992389396,0,-0.174311485,1.992389396,21.61852342,-1.28030232,4097.607789,182.033171,7.636958131,-1367.130868,21.61852342,-1.28030232,4097.607789,182.033171,7.636958131,-1367.130868
45,2,0,2,0,0,2,21.84275396,-1.303210993,4144.41823,183.7747706,7.70162716,-1382.458572,21.84275396,-1.303210993,4144.41823,183.7747706,7.70162716,-1382.458572
45,2,5,1.992389396,0,0.174311485,1.992389396,21.89936179,-1.316222439,4191.152258,184.1089263,7.708206287,-1397.764557,21.89936179,-1.316222439,4191.152258,184.1089263,7.708206287,-1397.764557
45,2,10,1.969615506,0,0.347296355,1.969615506,21.78474981,-1.318828135,4237.455069,183.0096597,7.655822181,-1412.932583,21.78474981,-1.318828135,4237.455069,183.0096597,7.655822181,-1412.932583
45,2,15,1.931851653,0,0.51763809,1.931851653,21.49678351,-1.310610233,4282.976853,180.463015,7.544051354,-1427.847946,21.49678351,-1.310610233,4282.976853,180.463015,7.544051354,-1427.847946
45,2,20,1.879385242,0,0.684040287,1.879385242,21.03489849,-1.291256841,4327.375382,176.4678446,7.372948365,-1442.39833,21.03489849,-1.291256841,4327.375382,176.4678446,7.372948365,-1442.39833
45,4,-20,3.758770483,0,-1.368080573,3.758770483,39.27397768,-2.17873002,3779.846118,331.9358552,13.83259689,-1262.972069,39.27397768,-2.17873002,3779.846118,331.9358552,13.83259689,-1262.972069
45,4,-15,3.863703305,0,-1.03527618,3.863703305,40.90881173,-2.305769228,3870.151822,345.1628963,14.34364908,-1292.501638,40.90881173,-2.305769228,3870.151822,345.1628963,14.34364908,-1292.501638
45,4,-10,3.939231012,0,-0.694592711,3.939231012,42.26470787,-2.420038134,3962.30698,356.0071351,14.75655626,-1322.64831,42.26470787,-2.420038134,3962.30698,356.0071351,14.75655626,-1322.64831
45,4,-5,3.984778792,0,-0.348622971,3.984778792,43.31909605,-2.519187918,4055.593358,364.2961276,15.06545555,-1353.177852,43.31909605,-2.519187918,4055.593358,364.2961276,15.06545555,-1353.177852
45,4,0,4,0,0,4,44.05117315,-2.600883311,4149.290654,369.8727292,15.26499151,-1383.854979,44.05117315,-2.600883311,4149.290654,369.8727292,15.26499151,-1383.854979
45,4,5,3.984778792,0,0.348622971,3.984778792,44.44244954,-2.662868396,4242.682297,372.5991489,15.35044818,-1414.44523,44.44244954,-2.662868396,4242.682297,372.5991489,15.35044818,-1414.44523
45,4,10,3.939231012,0,0.694592711,3.939231012,44.47728231,-2.703033431,4335.060998,372.3608947,15.31788216,-1444.716784,44.47728231,-2.703033431,4335.060998,372.3608947,15.31788216,-1444.716784
45,4,15,3.863703305,0,1.03527618,3.863703305,44.14337918,-2.719480676,4425.734037,369.0704934,15.16425264,-1474.442195,44.14337918,-2.719480676,4425.734037,369.0704934,15.16425264,-1474.442195
45,4,20,3.758770483,0,1.368080573,3.758770483,43.43225743,-2.710587206,4514.028213,362.6708694,14.8875445,-1503.400029,43.43225743,-2.710587206,4514.028213,362.6708694,14.8875445,-1503.400029
45,6,-20,5.638155725,0,-2.05212086,5.638155725,57.8359474,-3.061312427,3601.479441,489.4552925,20.17015629,-1204.356261,57.8359474,-3.061312427,3601.479441,489.4552925,20.17015629,-1204.356261
45,6,-15,5.795554958,0,-1.552914271,5.795554958,60.66201026,-3.295760569,3737.69232,512.0303417,21.01424584,-1248.865015,60.66201026,-3.295760569,3737.69232,512.0303417,21.01424584,-1248.865015
45,6,-10,5.908846518,0,-1.041889066,5.908846518,63.09930499,-3.515876471,3876.48085,531.257746,21.72319666,-1294.242995,63.09930499,-3.515876471,3876.48085,531.257746,21.72319666,-1294.242995
45,6,-5,5.977168189,0,-0.522934456,5.977168189,65.1017179,-3.716656796,4016.750796,546.7888698,22.28549227,-1340.134054,65.1017179,-3.716656796,4016.750796,546.7888698,22.28549227,-1340.134054
45,6,0,6,0,0,6,66.62525757,-3.893016956,4157.411361,558.2938761,22.69009304,-1386.182323,66.62525757,-3.893016956,4157.411361,558.2938761,22.69009304,-1386.182323
45,6,5,5.977168189,0,0.522934456,5.977168189,67.62926324,-4.039937871,4297.384205,565.4706677,22.92672568,-1432.035121,67.62926324,-4.039937871,4297.384205,565.4706677,22.92672568,-1432.035121
45,6,10,5.908846518,0,1.041889066,5.908846518,68.07759749,-4.15261589,4435.611878,568.053705,22.98617993,-1477.345707,68.07759749,-4.15261589,4435.611878,568.053705,22.98617993,-1477.345707
45,6,15,5.795554958,0,1.552914271,5.795554958,67.93978701,-4.226611326,4571.065642,565.822435,22.86060385,-1521.77585,67.93978701,-4.226611326,4571.065642,565.822435,22.86060385,-1521.77585
45,6,20,5.638155725,0,2.05212086,5.638155725,67.19207684,-4.257991094,4702.752583,558.6090747,22.54378839,-1564.998202,67.19207684,-4.257991094,4702.752583,558.6090747,22.54378839,-1564.998202
45,8,-20,7.517540966,0,-2.736161147,7.517540966,75.6812377,-3.806039766,3425.184301,641.342403,26.12188964,-1146.336926,75.6812377,-3.806039766,3425.184301,641.342403,26.12188964,-1146.336926
45,8,-15,7.72740661,0,-2.070552361,7.72740661,79.94773723,-4.177156394,3607.807237,675.0884518,27.35069075,-1205.967799,79.94773723,-4.177156394,3607.807237,675.0884518,27.35069075,-1205.967799
45,8,-10,7.878462024,0,-1.389185421,7.878462024,83.73539758,-4.53559432,3793.599671,704.6730525,28.41541192,-1266.682402,83.73539758,-4.53559432,3793.599671,704.6730525,28.41541192,-1266.682402
45,8,-5,7.969557585,0,-0.697245942,7.969557585,86.96638897,-4.872708952,3981.080103,729.5113975,29.29706828,-1327.999474,86.96638897,-4.872708952,3981.080103,729.5113975,29.29706828,-1327.999474
45,8,0,8,0,0,8,89.56500721,-5.179611926,4168.780351,749.038211,29.97693177,-1389.440604,89.56500721,-5.179611926,4168.780351,749.038211,29.97693177,-1389.440604
45,8,5,7.969557585,0,0.697245942,7.969557585,91.45980291,-5.447430864,4355.257982,762.7234828,30.43703878,-1450.534231,91.45980291,-5.447430864,4355.257982,762.7234828,30.43703878,-1450.534231
45,8,10,7.878462024,0,1.389185421,7.878462024,92.58569535,-5.667575509,4539.107708,770.0880906,30.66071549,-1510.819352,92.58569535,-5.667575509,4539.107708,770.0880906,30.66071549,-1510.819352
45,8,15,7.72740661,0,2.070552361,7.72740661,92.886007,-5.832002186,4718.971667,770.7188399,30.633105,-1569.848911,92.886007,-5.832002186,4718.971667,770.7188399,30.633105,-1569.848911
45,8,20,7.517540966,0,2.736161147,7.517540966,92.3143567,-5.933468507,4893.548492,764.2824602,30.34168005,-1627.192847,92.3143567,-5.933468507,4893.548492,764.2824602,30.34168005,-1627.192847
45,10,-20,9.396926208,0,-3.420201433,9.396926208,92.80984858,-4.412912035,3250.960701,787.5971867,31.68779696,-1088.914064,92.80984858,-4.412912035,3250.960701,787.5971867,31.68779696,-1088.914064
45,10,-15,9.659258263,0,-2.588190451,9.659258263,98.76599264,-4.949956705,3480.496576,834.3372267,33.35298382,-1163.809989,98.76599264,-4.949956705,3480.496576,834.3372267,33.35298382,-1163.809989
45,10,-10,9.84807753,0,-1.736481777,9.84807753,104.1729856,-5.479191682,3713.663442,876.2530545,34.83320201,-1239.966531,104.1729856,-5.479191682,3713.663442,876.2530545,34.83320201,-1239.966531
45,10,-5,9.961946981,0,-0.871557427,9.961946981,108.9131093,-5.987344387,3948.58128,912.4637109,36.10018358,-1316.774114,108.9131093,-5.987344387,3948.58128,912.4637109,36.10018358,-1316.774114
45,10,0,10,0,0,10,112.8704221,-6.460668222,4183.397624,942.1057341,37.12550768,-1393.629823,112.8704221,-6.460668222,4183.397624,942.1057341,37.12550768,-1393.629823
45,10,5,9.961946981,0,0.871557427,9.961946981,115.9340685,-6.885347374,4416.303628,964.3575941,37.88138749,-1469.942559,115.9340685,-6.885347374,4416.303628,964.3575941,37.88138749,-1469.942559
45,10,10,9.84807753,0,1.736481777,9.84807753,118.0015759,-7.247912291,4645.548489,978.4640516,38.34148886,-1545.137718,118.0015759,-7.247912291,4645.548489,978.4640516,38.34148886,-1545.137718
45,10,15,9.659258263,0,2.588190451,9.659258263,118.9820392,-7.535653254,4869.452113,983.7597082,38.48175607,-1618.661379,118.9820392,-7.535653254,4869.452113,983.7597082,38.48175607,-1618.661379
45,10,20,9.396926208,0,3.420201433,9.396926208,118.799097,-7.737019444,5086.415938,979.691026,38.28121948,-1689.983965,118.799097,-7.737019444,5086.415938,979.691026,38.28121948,-1689.983965
45,12,-20,11.27631145,0,-4.10424172,11.27631145,109.22178,-4.881929236,3078.808639,928.2196436,36.86787824,-1032.087675,109.22178,-4.881929236,3078.808639,928.2196436,36.86787824,-1032.087675
45,12,-15,11.59110992,0,-3.105828541,11.59110992,117.1167765,-5.6141615,3355.760334,989.7766664,39.02112503,-1122.391585,117.1167765,-5.6141615,3355.760334,989.7766664,39.02112503,-1122.391585
45,12,-10,11.81769304,0,-2.083778132,11.81769304,124.4120691,-6.346668558,3636.672163,1045.997752,40.97656696,-1214.095382,124.4120691,-6.346668558,3636.672163,1045.997752,40.97656696,-1214.095382
45,12,-5,11.95433638,0,-1.045868913,11.95433638,130.9418788,-7.0605631,3919.254325,1095.64581,42.69483817,-1306.457972,130.9418788,-7.0605631,3919.254325,1095.64581,42.69483817,-1306.457972
45,12,0,12,0,0,12,136.5415022,-7.736185844,4201.263179,1137.496445,44.13582078,-1398.74998,136.5415022,-7.736185844,4201.263179,1137.496445,44.13582078,-1398.74998
45,12,5,11.95433638,0,1.045868913,11.95433638,141.0520601,-8.353687402,4480.521143,1170.373002,45.2597718,-1490.260106,141.0520601,-8.353687402,4480.521143,1170.373002,45.2597718,-1490.260106
45,12,10,11.81769304,0,2.083778132,11.81769304,144.3252391,-8.893626234,4754.934219,1193.181588,46.02850001,-1580.300806,144.3252391,-8.893626234,4754.934219,1193.181588,46.02850001,-1580.300806
45,12,15,11.59110992,0,3.105828541,11.59110992,146.2278835,-9.33756453,5022.506979,1204.94504,46.40655708,-1668.213254,146.2278835,-9.33756453,5022.506979,1204.94504,46.40655708,-1668.213254
45,12,20,11.27631145,0,4.10424172,11.27631145,146.6462978,-9.668643904,5281.354924,1204.834772,46.36240667,-1753.371556,146.6462978,-9.668643904,5281.354924,1204.834772,46.36240667,-1753.371556
